name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
clean-code-javascript,2016-11-25T22:25:41Z,149,0,2024-08-25T20:46:08Z,JavaScript,0.56
HelloGitHub,2016-05-04T06:24:11Z,17,45,2024-08-25T21:02:03Z,Python,0.95
java-design-patterns,2014-08-09T16:45:18Z,1385,0,2024-08-25T18:31:43Z,Java,0.85
godot,2014-01-04T16:05:36Z,33626,57,2024-08-25T20:51:44Z,C++,0.8
puppeteer,2017-05-09T22:16:13Z,4792,428,2024-08-25T20:38:30Z,TypeScript,0.96
vue-element-admin,2017-04-17T03:35:49Z,311,49,2024-08-25T10:24:53Z,Vue,0.66
free-for-dev,2015-03-18T21:06:26Z,2537,0,2024-08-25T20:18:44Z,HTML,0
ollama,2023-06-26T19:39:32Z,1508,87,2024-08-25T20:57:54Z,Go,0.75
papers-we-love,2013-12-15T14:31:41Z,429,0,2024-08-25T21:02:53Z,Shell,0.92
thefuck,2015-04-08T15:08:04Z,482,17,2024-08-25T19:31:22Z,Python,0.65
storybook,2016-03-18T04:23:44Z,10175,1000,2024-08-25T16:30:52Z,TypeScript,0.85
iptv,2018-11-14T22:00:57Z,6314,0,2024-08-25T20:54:02Z,JavaScript,1.0
frp,2015-12-21T15:24:59Z,626,99,2024-08-25T20:22:15Z,Go,0.98
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,478,0,2024-08-25T19:19:44Z,JavaScript,0.82
Awesome-Hacking,2016-03-30T15:47:10Z,33,0,2024-08-25T21:03:30Z,,0
every-programmer-should-know,2017-08-24T13:18:26Z,99,0,2024-08-25T20:36:18Z,,0.41
pytorch,2016-08-13T05:26:41Z,5836,54,2024-08-25T20:52:51Z,Python,0.69
tailwindcss,2017-10-06T14:59:14Z,2177,228,2024-08-25T19:25:47Z,TypeScript,0.99
tauri,2019-07-13T09:09:37Z,4283,1000,2024-08-25T20:52:51Z,Rust,0.79
neovim,2014-01-31T13:39:22Z,13416,38,2024-08-25T20:46:57Z,Vim Script,0.87
yt-dlp,2020-10-26T04:22:55Z,2208,91,2024-08-25T20:54:29Z,Python,0.82
animate.css,2011-10-12T10:07:38Z,315,22,2024-08-25T19:30:29Z,CSS,0.97
realworld,2016-02-26T20:49:53Z,429,0,2024-08-25T20:17:17Z,TypeScript,0.93
excalidraw,2020-01-02T01:04:43Z,3415,13,2024-08-25T20:32:21Z,TypeScript,0.57
django,2012-04-28T02:47:18Z,9117,0,2024-08-25T19:58:17Z,Python,0
nvm,2010-04-15T17:47:47Z,708,67,2024-08-25T20:27:15Z,Shell,0.87
app-ideas,2019-02-25T18:36:56Z,149,0,2024-08-25T20:35:35Z,,0.3
svelte,2016-11-20T18:13:05Z,4637,262,2024-08-25T20:08:15Z,JavaScript,0.89
laravel,2011-06-08T03:06:08Z,1578,170,2024-08-25T19:48:59Z,PHP,0
bitcoin,2010-12-19T15:16:43Z,14355,51,2024-08-25T20:00:08Z,C++,0.96
opencv,2012-07-19T09:40:17Z,12293,63,2024-08-25T17:42:53Z,C++,0.77
gin,2014-06-16T23:57:25Z,1026,26,2024-08-25T18:11:34Z,Go,0.73
mall,2018-04-04T01:11:44Z,1,3,2024-08-25T18:29:09Z,Java,0.96
models,2016-02-05T01:15:20Z,2327,46,2024-08-25T12:32:29Z,Python,0.85
FiraCode,2014-11-11T19:32:38Z,132,29,2024-08-25T20:56:49Z,Clojure,0.71
advanced-java,2018-10-06T11:38:30Z,86,1,2024-08-25T16:47:38Z,Java,0.97
LeetCodeAnimation,2018-12-06T08:01:22Z,63,0,2024-08-25T19:17:36Z,Java,0.71
fastapi,2018-12-08T08:21:47Z,2076,185,2024-08-25T19:53:02Z,Python,0.99
hugo,2013-07-04T15:26:26Z,2543,284,2024-08-25T17:18:30Z,Go,0.94
ChatGPT-Next-Web,2023-03-10T18:27:54Z,704,66,2024-08-25T18:57:13Z,TypeScript,0.87
awesome-mac,2016-07-17T15:33:47Z,868,9,2024-08-25T20:55:57Z,JavaScript,0.73
spring-boot,2012-10-19T15:02:57Z,42,283,2024-08-25T16:20:57Z,Java,0.98
Font-Awesome,2012-02-17T14:19:43Z,205,56,2024-08-25T17:19:27Z,JavaScript,0.79
bun,2021-04-14T00:48:17Z,3618,156,2024-08-25T21:02:04Z,Zig,0.59
json-server,2013-11-27T13:21:13Z,120,37,2024-08-25T18:08:59Z,JavaScript,0.47
awesome-vue,2015-10-20T00:16:14Z,3516,0,2024-08-25T19:06:35Z,,0.85
rustdesk,2020-09-28T15:36:08Z,3000,20,2024-08-25T20:49:54Z,Rust,0.98
supabase,2019-10-12T05:56:49Z,9487,15,2024-08-25T20:34:43Z,TypeScript,0.94
core,2013-09-17T07:29:48Z,62271,1000,2024-08-25T20:45:14Z,Python,0.96
netdata,2013-06-17T18:39:10Z,8949,90,2024-08-25T20:01:36Z,C,0.98
mermaid,2014-11-01T23:52:32Z,2125,127,2024-08-25T21:03:30Z,JavaScript,0.67
awesome-interview-questions,2015-11-28T09:48:17Z,176,0,2024-08-25T19:11:29Z,,0.56
elasticsearch,2010-02-08T13:20:56Z,65888,153,2024-08-25T20:44:23Z,Java,0.89
ML-For-Beginners,2021-03-03T01:34:05Z,365,0,2024-08-25T20:59:31Z,HTML,0.98
gpt4all,2023-03-27T18:49:32Z,730,23,2024-08-25T19:52:25Z,C++,0.71
