name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
serverless,2015-04-21T03:48:40Z,4662,398,2024-08-25T20:06:27Z,JavaScript,0.82
minio,2015-01-14T19:23:58Z,9582,494,2024-08-25T20:24:16Z,Go,1.0
marktext,2017-11-12T16:05:25Z,939,36,2024-08-25T20:20:08Z,JavaScript,0.58
professional-programming,2015-11-07T05:07:52Z,36,0,2024-08-25T20:17:54Z,Python,0.86
trackerslist,2016-04-24T11:57:57Z,1,0,2024-08-25T17:06:59Z,,0.98
big-list-of-naughty-strings,2015-08-08T20:57:20Z,90,0,2024-08-25T11:54:51Z,Python,0.32
meilisearch,2018-04-23T11:45:28Z,1727,206,2024-08-25T20:28:12Z,Rust,0.92
rclone,2014-03-16T16:19:57Z,1894,103,2024-08-25T18:53:35Z,Go,0.83
zustand,2019-04-09T09:10:06Z,642,85,2024-08-25T18:32:19Z,TypeScript,0.99
okhttp,2012-07-23T13:42:55Z,3440,0,2024-08-25T17:11:14Z,Kotlin,0.97
uBlock,2015-04-01T17:51:11Z,240,269,2024-08-25T21:08:02Z,JavaScript,1.0
learn-regex,2017-07-22T12:21:03Z,124,0,2024-08-25T14:23:34Z,,0.41
awesome-rust,2014-07-17T10:45:10Z,1392,0,2024-08-25T20:24:48Z,Rust,0.92
julia,2011-04-21T07:01:50Z,23926,161,2024-08-25T20:52:50Z,Julia,0.84
awesome-wechat-weapp,2016-09-22T20:04:48Z,275,0,2024-08-25T15:13:39Z,,0
zed,2021-02-20T03:01:06Z,7217,569,2024-08-25T21:06:28Z,Rust,0.64
powerlevel10k,2019-02-24T19:09:45Z,158,33,2024-08-25T20:43:18Z,Shell,0.98
v2ray-core,2015-09-04T11:42:53Z,203,247,2024-08-25T14:23:45Z,Go,1.0
astro,2021-03-15T17:19:47Z,6152,1000,2024-08-25T18:47:01Z,TypeScript,0.97
dive,2018-05-13T15:44:01Z,141,26,2024-08-25T20:46:17Z,Go,0.5
Projects,2013-07-04T13:37:27Z,19,0,2024-08-25T20:13:43Z,,0.46
joplin,2017-01-16T21:49:41Z,3343,347,2024-08-25T20:51:48Z,TypeScript,0.94
react,2018-06-02T04:08:16Z,359,0,2024-08-25T20:45:10Z,JavaScript,0.99
gogs,2014-02-12T01:57:08Z,1692,78,2024-08-25T17:21:47Z,Go,0.82
Motrix,2018-12-18T11:45:05Z,181,21,2024-08-25T16:16:36Z,JavaScript,0.45
FFmpeg,2011-04-14T14:12:38Z,16,0,2024-08-25T18:14:07Z,C,0
nocodb,2017-10-29T18:51:48Z,3698,147,2024-08-25T21:06:42Z,TypeScript,0.83
PowerShell,2016-01-13T23:41:35Z,6955,172,2024-08-25T20:38:58Z,C#,0.93
hackingtool,2020-04-11T09:21:31Z,55,0,2024-08-25T20:57:13Z,Python,0.88
design-patterns-for-humans,2017-02-16T21:24:39Z,49,0,2024-08-25T16:17:59Z,,0.92
100-Days-Of-ML-Code,2018-07-05T09:11:43Z,6,0,2024-08-25T20:08:26Z,,0
weekly,2018-10-13T12:36:07Z,88,0,2024-08-25T19:10:06Z,,0.17
fuels-rs,2021-10-31T22:33:54Z,792,100,2024-08-25T13:58:28Z,Rust,0.87
fuels-ts,2021-09-03T18:11:03Z,1513,127,2024-08-25T13:58:32Z,TypeScript,0.88
meteor,2012-01-19T01:58:17Z,2236,0,2024-08-25T20:02:56Z,JavaScript,0.97
architecture-samples,2016-02-05T13:42:07Z,224,0,2024-08-25T20:19:49Z,Kotlin,0.71
n8n,2019-06-22T09:24:21Z,7002,209,2024-08-25T20:22:32Z,TypeScript,0.88
first-contributions,2016-09-20T14:35:09Z,73402,0,2024-08-25T21:04:56Z,,0.93
x64dbg,2015-04-11T20:48:23Z,687,2,2024-08-25T20:46:22Z,C++,0.76
hiring-without-whiteboards,2017-03-15T05:09:01Z,1274,0,2024-08-25T18:21:44Z,JavaScript,0
jest,2013-12-10T00:18:04Z,5548,202,2024-08-25T13:56:03Z,TypeScript,0.96
starship,2019-04-02T03:23:12Z,2678,130,2024-08-25T20:52:51Z,Rust,0.74
AdminLTE,2013-12-25T02:52:40Z,1509,73,2024-08-25T20:28:22Z,Astro,0.96
gitea,2016-11-01T02:13:26Z,16084,194,2024-08-25T20:41:54Z,Go,0.82
pixijs,2013-01-21T22:40:50Z,3432,265,2024-08-25T19:06:49Z,TypeScript,0.94
parcel,2017-08-07T16:36:47Z,2548,35,2024-08-25T21:09:16Z,JavaScript,0.89
TensorFlow-Examples,2015-11-11T14:21:19Z,88,0,2024-08-25T18:31:12Z,Jupyter Notebook,0.3
MetaGPT,2023-06-30T09:04:55Z,592,21,2024-08-25T21:06:24Z,Python,0.52
appwrite,2019-04-08T16:36:25Z,2976,100,2024-08-25T18:49:26Z,TypeScript,0.84
build-web-application-with-golang,2012-08-02T11:49:35Z,757,0,2024-08-25T15:33:33Z,Go,0.6
hyper,2016-07-01T06:01:21Z,3291,88,2024-08-25T18:53:32Z,TypeScript,0.76
babel,2014-09-28T13:38:23Z,5849,408,2024-08-25T16:35:55Z,TypeScript,0.93
pandas,2010-08-24T01:37:33Z,25797,108,2024-08-25T21:00:36Z,Python,0.87
retrofit,2010-09-06T21:39:43Z,993,2,2024-08-25T15:05:49Z,HTML,0.96
quill,2012-07-30T23:23:18Z,376,94,2024-08-25T13:17:35Z,TypeScript,0.91
immich,2022-02-03T15:56:27Z,4371,200,2024-08-25T21:00:43Z,TypeScript,0.87
dify,2023-04-12T07:40:24Z,3110,86,2024-08-25T20:29:38Z,TypeScript,0.92
zx,2021-05-05T05:50:01Z,219,66,2024-08-25T18:18:30Z,JavaScript,0.97
huginn,2013-03-10T06:00:31Z,1011,1,2024-08-25T18:52:16Z,Ruby,0.72
PythonDataScienceHandbook,2016-08-10T14:24:36Z,28,0,2024-08-25T19:58:06Z,Jupyter Notebook,0.4
ImHex,2020-11-10T14:27:00Z,513,71,2024-08-25T20:29:47Z,C++,0.75
30-Days-Of-JavaScript,2019-12-23T14:07:40Z,98,0,2024-08-25T21:08:25Z,JavaScript,0.38
CppCoreGuidelines,2015-08-19T20:22:52Z,804,4,2024-08-25T20:17:50Z,CSS,0.79
type-challenges,2020-07-23T14:33:11Z,557,0,2024-08-25T20:16:38Z,TypeScript,0.11
PaddleOCR,2020-05-08T10:38:16Z,2433,14,2024-08-25T18:12:07Z,Python,0.99
terraform,2014-03-13T22:25:48Z,11713,320,2024-08-25T20:32:54Z,Go,0.91
frontend-dev-bookmarks,2013-06-22T13:23:55Z,129,1,2024-08-25T20:33:04Z,,0.78
json,2013-07-04T08:47:49Z,710,44,2024-08-25T20:09:43Z,C++,0.96
open-source-ios-apps,2015-01-26T23:32:34Z,1156,37,2024-08-25T19:13:19Z,,1.0
awesome-react-components,2016-06-24T15:19:33Z,324,0,2024-08-25T20:40:42Z,,0.9
git-flight-rules,2014-07-22T20:35:09Z,223,0,2024-08-25T20:34:47Z,,0.75
discourse,2013-01-12T00:25:55Z,24823,0,2024-08-25T17:42:02Z,Ruby,0
grpc,2014-12-08T18:58:53Z,19439,323,2024-08-25T13:00:59Z,C++,0.95
query,2019-09-10T19:23:58Z,2226,918,2024-08-25T19:38:52Z,TypeScript,0.97
yarn,2016-01-19T17:39:16Z,1654,152,2024-08-24T14:05:00Z,JavaScript,0.72
react-use,2018-10-27T10:16:05Z,1519,255,2024-08-25T20:39:58Z,TypeScript,0.43
alist,2020-12-23T17:40:29Z,652,113,2024-08-25T16:45:44Z,Go,0.96
pm2,2013-05-21T03:25:25Z,546,124,2024-08-25T16:22:26Z,JavaScript,0.82
front-end-interview-handbook,2018-01-13T19:40:08Z,301,0,2024-08-25T21:00:22Z,MDX,0.88
awesome-java,2014-07-09T10:12:43Z,680,0,2024-08-25T19:13:32Z,,0.99
Alamofire,2014-07-31T05:56:19Z,634,99,2024-08-25T12:38:00Z,Swift,0.99
localsend,2022-12-16T00:46:07Z,485,21,2024-08-25T20:59:54Z,Dart,0.54
vue2-elm,2016-12-23T01:49:20Z,21,0,2024-08-25T16:02:16Z,Vue,0.82
react-hook-form,2019-03-05T23:47:10Z,1941,553,2024-08-25T20:21:30Z,TypeScript,1.0
open-source-mac-os-apps,2017-11-03T02:35:33Z,522,0,2024-08-25T19:13:39Z,,0.77
Leaflet,2010-09-22T16:57:44Z,2986,31,2024-08-25T14:04:24Z,JavaScript,0.92
jadx,2013-03-18T17:08:21Z,482,29,2024-08-25T20:44:41Z,Java,0.77
brew,2016-03-06T05:08:38Z,11275,382,2024-08-25T19:35:19Z,Ruby,0.99
30-Days-Of-Python,2019-11-19T17:24:16Z,55,0,2024-08-25T17:46:14Z,Python,0.53
edex-ui,2017-01-28T09:35:02Z,399,29,2024-08-25T19:40:35Z,JavaScript,0.99
drawio,2016-09-06T12:59:15Z,36,837,2024-08-25T15:28:37Z,JavaScript,0.93
styled-components,2016-08-16T06:41:32Z,945,169,2024-08-25T20:59:22Z,TypeScript,0.91
Docker-OSX,2020-06-04T11:01:37Z,101,0,2024-08-25T20:49:47Z,Shell,0.43
dubbo,2012-06-19T07:56:02Z,5262,102,2024-08-25T06:50:25Z,Java,0.89
kubernetes-the-hard-way,2016-07-07T14:15:27Z,70,0,2024-08-25T20:55:06Z,,0.73
ChatGLM-6B,2023-03-13T12:00:18Z,49,0,2024-08-25T10:50:46Z,Python,0.58
nw.js,2012-01-04T06:21:10Z,573,0,2024-08-25T09:33:37Z,JavaScript,0.87
python-patterns,2012-06-06T21:02:35Z,264,0,2024-08-25T19:58:15Z,Python,0.87
Rocket.Chat,2015-05-19T07:36:09Z,12543,941,2024-08-25T17:47:31Z,TypeScript,0.84
JeecgBoot,2018-11-26T10:40:00Z,74,46,2024-08-25T12:57:19Z,Java,0.99
uni-app,2018-07-12T08:52:39Z,304,0,2024-08-25T15:31:44Z,JavaScript,0.78
what-happens-when,2013-11-07T04:30:06Z,108,0,2024-08-25T19:10:51Z,,0.18
monaco-editor,2016-06-07T16:56:31Z,447,88,2024-08-25T20:05:39Z,JavaScript,0.86
Fooocus,2023-08-09T18:43:40Z,448,21,2024-08-25T21:05:35Z,Python,0.89
vuetify,2016-09-12T00:39:35Z,3943,564,2024-08-25T19:49:39Z,TypeScript,0.95
swiper,2012-03-14T19:11:45Z,575,72,2024-08-25T20:33:57Z,JavaScript,0.98
awesome-cheatsheets,2017-11-09T02:47:15Z,169,0,2024-08-25T19:18:44Z,JavaScript,0.65
spark,2014-02-25T08:00:08Z,7,0,2024-08-25T19:43:20Z,Scala,0
text-generation-webui,2022-12-21T04:17:37Z,1005,50,2024-08-25T20:55:31Z,Python,0.94
hexo,2012-09-23T15:17:08Z,912,114,2024-08-25T18:00:24Z,TypeScript,0.98
Stirling-PDF,2023-01-27T18:22:42Z,776,84,2024-08-25T21:04:32Z,Java,0.79
lx-music-desktop,2019-08-14T14:31:08Z,35,108,2024-08-25T17:43:30Z,TypeScript,0.63
dbeaver,2015-10-21T08:26:28Z,4957,206,2024-08-25T19:10:24Z,Java,0.86
fastlane,2014-12-02T17:00:38Z,6177,543,2024-08-25T14:08:05Z,Ruby,0.96
ailearning,2017-02-25T08:53:02Z,477,2,2024-08-25T18:01:14Z,Python,0.98
materialize,2014-09-12T19:35:38Z,449,41,2024-08-24T09:07:19Z,JavaScript,0.88
reactjs-interview-questions,2018-05-31T17:17:01Z,155,0,2024-08-25T20:42:12Z,JavaScript,0.95
kong,2014-11-17T23:56:08Z,5932,141,2024-08-25T20:57:38Z,Lua,0.99
awesome-design-patterns,2018-06-04T17:47:48Z,30,0,2024-08-25T20:47:27Z,,0.38
prisma,2019-06-20T13:33:47Z,5490,194,2024-08-25T19:39:22Z,TypeScript,0.71
CPlusPlusThings,2019-07-14T08:45:45Z,72,0,2024-08-25T17:02:02Z,C++,0.97
ColossalAI,2021-10-28T16:19:44Z,3512,42,2024-08-25T11:05:32Z,Python,0.76
pyenv,2012-08-31T06:57:52Z,878,103,2024-08-25T21:06:04Z,Roff,0.97
sentry,2010-08-30T22:06:41Z,55808,135,2024-08-25T18:28:14Z,Python,0.8
black,2018-03-14T19:54:45Z,1471,44,2024-08-25T20:53:30Z,Python,0.86
acme.sh,2015-12-26T12:56:33Z,1306,41,2024-08-25T19:54:28Z,Shell,0.68
pocketbase,2022-07-05T06:06:21Z,49,143,2024-08-25T21:05:59Z,Go,0.97
stablediffusion,2022-11-23T23:59:50Z,18,0,2024-08-25T19:48:15Z,Python,0.24
AFFiNE,2022-07-31T18:45:21Z,4608,350,2024-08-25T20:39:39Z,TypeScript,0.92
cheat.sh,2017-05-07T21:40:56Z,122,0,2024-08-25T13:38:26Z,Python,0.52
fanqiang,2015-01-14T00:34:25Z,3,3,2024-08-25T20:58:36Z,Kotlin,0.59
Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,28,0,2024-08-25T20:20:50Z,Python,0.09
esbuild,2016-06-14T16:08:50Z,234,288,2024-08-25T13:04:50Z,Go,0.87
metabase,2015-02-02T19:25:47Z,23892,544,2024-08-25T15:10:23Z,Clojure,0.81
php-src,2011-06-16T01:52:25Z,3141,0,2024-08-25T20:35:47Z,C,0.79
video.js,2010-05-14T18:45:10Z,1762,319,2024-08-25T17:49:42Z,JavaScript,0.91
bert,2018-10-25T22:57:34Z,32,0,2024-08-25T18:59:54Z,Python,0.31
tabler,2018-02-01T09:08:59Z,485,42,2024-08-25T20:45:34Z,HTML,0.92
impress.js,2011-12-28T22:23:19Z,121,15,2024-08-25T17:58:32Z,JavaScript,0.89
iina,2016-12-19T07:18:45Z,732,44,2024-08-25T20:09:02Z,Swift,0.58
MPAndroidChart,2014-04-25T14:29:47Z,190,44,2024-08-25T19:39:52Z,Java,0.58
wrk,2012-03-20T11:12:28Z,0,0,2024-08-25T19:35:49Z,C,0.65
lobe-chat,2023-05-21T07:19:12Z,985,824,2024-08-25T19:49:12Z,TypeScript,0.83
cobra,2013-09-03T20:40:26Z,583,22,2024-08-25T20:36:51Z,Go,0.83
chakra-ui,2019-08-17T14:27:54Z,2393,1000,2024-08-25T21:03:13Z,MDX,0.92
styleguide,2015-05-20T19:18:59Z,161,0,2024-08-25T21:10:13Z,HTML,0.5
odoo,2014-05-13T15:38:58Z,6175,0,2024-08-25T20:07:58Z,Python,0.84
Made-With-ML,2018-11-05T03:44:27Z,147,0,2024-08-25T19:58:36Z,Jupyter Notebook,0.79
freecodecamp.cn,2016-09-30T03:13:43Z,55,0,2024-08-25T20:42:18Z,CSS,0.74
Open-Assistant,2022-12-13T05:24:17Z,1616,127,2024-08-25T19:58:43Z,Python,0.86
chinese-independent-developer,2017-09-21T11:08:23Z,235,0,2024-08-25T20:45:35Z,,0.99
phaser,2013-04-12T12:27:51Z,1676,150,2024-08-25T20:53:57Z,JavaScript,0.99
zju-icicles,2016-06-28T16:17:32Z,211,0,2024-08-25T17:19:27Z,HTML,0.84
htmx,2020-04-13T16:17:51Z,752,22,2024-08-25T20:57:07Z,JavaScript,0.61
tidb,2015-09-06T04:01:52Z,29338,196,2024-08-25T18:05:30Z,Go,0.81
open-webui,2023-10-06T22:08:27Z,1120,46,2024-08-25T21:08:29Z,Svelte,0.93
diagrams,2020-02-02T15:23:24Z,255,40,2024-08-25T18:46:02Z,Python,0.38
free,2020-06-07T02:48:33Z,0,0,2024-08-25T19:58:22Z,,0.28
nvm-windows,2014-09-20T16:37:28Z,97,20,2024-08-25T21:09:11Z,Go,0.92
English-level-up-tips,2017-05-30T07:18:52Z,26,0,2024-08-25T16:31:17Z,HTML,0.73
interview_internal_reference,2019-06-10T06:54:19Z,35,0,2024-08-25T19:52:57Z,Python,0.4
preact,2015-09-11T02:40:18Z,1667,209,2024-08-25T18:29:45Z,JavaScript,0.93
cli,2019-10-03T15:24:53Z,2166,140,2024-08-25T20:14:40Z,Go,0.85
tutorials,2013-04-29T18:26:36Z,12241,0,2024-08-25T21:05:32Z,Java,0.97
gorm,2013-10-25T08:31:38Z,714,2,2024-08-25T18:01:21Z,Go,0.93
pure-bash-bible,2018-06-13T01:39:33Z,28,0,2024-08-25T19:39:16Z,Shell,0.43
ClickHouse,2016-06-02T08:28:18Z,39661,577,2024-08-25T20:56:35Z,C++,0.84
llm-course,2023-06-17T22:16:25Z,1,0,2024-08-25T20:36:40Z,Jupyter Notebook,0.39
50projects50days,2020-11-16T14:39:01Z,42,0,2024-08-25T20:14:14Z,CSS,0
ant-design-pro,2017-08-25T10:40:44Z,960,26,2024-08-25T19:47:45Z,TypeScript,0.99
FastChat,2023-03-19T00:18:02Z,788,14,2024-08-25T16:35:27Z,Python,0.57
manifesto,2023-08-13T16:17:24Z,761,0,2024-08-25T02:20:28Z,HTML,0.44
vaultwarden,2018-02-17T22:40:20Z,820,59,2024-08-25T19:32:59Z,Rust,0.99
python-cheatsheet,2018-01-25T04:16:53Z,14,0,2024-08-25T18:08:43Z,Python,0.92
leveldb,2014-08-27T21:17:52Z,62,21,2024-08-25T18:24:29Z,C++,0.71
lazydocker,2019-05-18T08:53:50Z,181,40,2024-08-25T18:26:43Z,Go,0.57
airflow,2015-04-13T18:04:58Z,21540,88,2024-08-25T20:40:07Z,Python,0.91
vim,2015-08-18T21:03:56Z,438,0,2024-08-25T20:12:46Z,Vim Script,0.83
shellcheck,2012-11-17T03:15:11Z,285,29,2024-08-25T20:06:05Z,Haskell,0.62
JavaFamily,2019-11-12T04:26:18Z,2,0,2024-08-25T16:24:53Z,,0.97
nanoGPT,2022-12-28T00:51:12Z,44,0,2024-08-25T21:03:54Z,Python,0.33
mitmproxy,2010-02-16T04:10:13Z,2363,66,2024-08-25T17:20:27Z,Python,0.91
DragGAN,2023-05-18T10:08:02Z,18,0,2024-08-25T10:24:19Z,Python,0.24
og-aws,2016-07-13T17:30:16Z,498,0,2024-08-25T18:54:44Z,Shell,0.38
v,2019-02-08T02:57:06Z,10736,220,2024-08-25T16:11:28Z,V,0.89
quivr,2023-05-12T23:53:30Z,1573,312,2024-08-25T20:33:13Z,Python,0.93
istio,2016-11-18T23:57:21Z,26015,356,2024-08-25T20:53:02Z,Go,0.98
lerna,2015-12-04T09:36:55Z,960,238,2024-08-25T14:39:10Z,TypeScript,0.86
wtfpython,2017-08-28T20:22:19Z,100,2,2024-08-24T19:36:31Z,Python,0.63
deeplearningbook-chinese,2016-12-07T11:46:51Z,16,7,2024-08-25T15:23:58Z,TeX,0.68
GFPGAN,2021-03-19T06:18:20Z,14,8,2024-08-25T18:06:30Z,Python,0.27
arthas,2018-08-29T17:15:57Z,513,53,2024-08-25T12:39:09Z,Java,0.84
taro,2018-04-08T09:32:26Z,3222,181,2024-08-25T16:57:07Z,TypeScript,0.89
curl,2010-03-18T22:32:22Z,181,81,2024-08-25T07:40:45Z,C,1.0
fullPage.js,2013-09-20T11:58:29Z,310,96,2024-08-25T19:20:51Z,JavaScript,0.97
hello-algorithm,2020-05-29T05:47:09Z,26,0,2024-08-25T14:38:11Z,Java,0.76
aspnetcore,2014-03-11T06:09:42Z,15981,232,2024-08-25T20:34:24Z,C#,0.9
koa,2013-07-20T18:53:45Z,493,0,2024-08-25T11:56:52Z,JavaScript,0.96
bark,2023-04-07T19:34:48Z,19,0,2024-08-25T20:53:04Z,Jupyter Notebook,0.53
tldraw,2021-05-09T11:48:37Z,2160,37,2024-08-25T18:46:24Z,TypeScript,0.79
shadowsocks-android,2012-12-16T13:40:29Z,253,184,2024-08-25T15:07:59Z,Kotlin,0.98
lottie-android,2016-10-06T22:42:42Z,677,50,2024-08-25T17:11:21Z,Java,0.99
wtfjs,2017-07-14T15:42:12Z,124,25,2024-08-25T20:53:33Z,JavaScript,0.86
sheetjs,2012-12-03T19:25:52Z,106,0,2024-08-25T16:09:17Z,,0.95
devdocs,2013-10-24T18:16:07Z,749,0,2024-08-25T16:01:18Z,Ruby,0.85
aria2,2010-11-27T09:41:48Z,252,24,2024-08-25T21:07:33Z,C++,0.44
bevy,2020-01-18T21:13:55Z,3461,28,2024-08-25T20:32:20Z,Rust,0.67
nativefier,2015-07-05T05:56:42Z,261,99,2024-08-25T19:09:29Z,TypeScript,0.79
MockingBird,2021-08-07T03:53:39Z,77,1,2024-08-25T13:18:35Z,Python,0.47
hackathon-starter,2013-11-13T17:24:12Z,323,15,2024-08-25T15:00:50Z,JavaScript,0.99
llama_index,2022-11-02T04:24:54Z,5099,315,2024-08-25T21:01:21Z,Python,0.87
glide,2013-07-08T22:52:33Z,538,47,2024-08-25T14:54:26Z,Java,0.88
955.WLB,2019-03-27T23:53:37Z,18,0,2024-08-25T12:36:19Z,,0.31
TaskMatrix,2023-03-02T09:04:28Z,21,0,2024-08-24T14:29:41Z,Python,0.38
tesseract.js,2015-06-24T02:49:52Z,175,54,2024-08-25T18:52:02Z,JavaScript,0.96
DeepSpeed,2020-01-23T18:35:18Z,2320,78,2024-08-25T18:16:41Z,Python,0.63
the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,592,0,2024-08-25T14:51:03Z,Go,0
node-v0.x-archive,2009-05-27T16:29:46Z,218,0,2024-08-25T05:18:03Z,,1.0
awesome-react-native,2015-03-26T19:58:06Z,912,0,2024-08-25T21:01:40Z,JavaScript,0.49
gym,2016-04-27T14:59:16Z,999,19,2024-08-25T20:33:30Z,Python,0.95
carbon,2017-06-16T02:50:28Z,659,215,2024-08-25T07:19:03Z,JavaScript,0.9
date-fns,2014-10-06T10:24:22Z,1067,120,2024-08-25T18:00:56Z,TypeScript,0.71
photoprism,2018-01-27T12:00:15Z,644,70,2024-08-25T19:43:13Z,Go,0.8
tmux,2015-06-03T23:32:55Z,1,35,2024-08-25T20:08:04Z,C,0.99
streamlit,2019-08-24T00:14:52Z,4007,82,2024-08-25T20:45:27Z,Python,0.8
interview,2018-02-09T09:49:48Z,35,0,2024-08-25T18:47:16Z,C++,0.65
Ryujinx,2018-02-04T23:07:54Z,2965,0,2024-08-25T18:37:49Z,C#,0.72
termux-app,2015-10-23T09:42:46Z,149,91,2024-08-25T20:40:13Z,Java,0.88
insomnia,2016-04-23T03:54:26Z,2763,460,2024-08-25T21:06:51Z,JavaScript,0.82
trpc,2020-07-18T01:17:11Z,3221,200,2024-08-25T19:41:41Z,TypeScript,0.91
lapce,2018-02-06T08:41:06Z,1089,31,2024-08-25T18:39:05Z,Rust,0.61
googletest,2015-07-28T15:07:53Z,808,9,2024-08-25T20:17:48Z,C++,0.88
TrafficMonitor,2017-07-30T02:51:17Z,43,24,2024-08-25T18:40:26Z,C++,0.38
novu,2021-08-26T15:22:44Z,4009,36,2024-08-25T19:03:35Z,TypeScript,0.81
caffe,2013-09-12T18:39:48Z,1087,14,2024-08-25T20:28:00Z,C++,0.81
whisper.cpp,2022-09-25T18:26:37Z,523,17,2024-08-25T16:35:27Z,C,0.5
clipboard.js,2015-09-18T23:04:55Z,117,42,2024-08-25T05:16:13Z,JavaScript,0.99
v2rayNG,2019-05-15T02:15:31Z,245,187,2024-08-25T20:50:02Z,Kotlin,0.99
typeorm,2016-02-29T07:41:14Z,1969,32,2024-08-25T12:10:26Z,TypeScript,0.71
AI-For-Beginners,2021-03-03T16:27:36Z,158,0,2024-08-25T19:27:00Z,Jupyter Notebook,0.83
formik,2017-06-14T19:50:59Z,821,196,2024-08-25T01:28:49Z,TypeScript,0.69
vim-plug,2013-09-10T14:58:51Z,175,8,2024-08-25T18:57:26Z,Vim Script,0.94
12306,2017-05-17T12:23:40Z,31,1,2024-08-25T12:10:43Z,Python,0.67
pandoc,2010-03-20T20:34:23Z,1570,137,2024-08-25T20:53:06Z,Haskell,0.86
google-research,2018-10-04T18:42:48Z,29,0,2024-08-25T19:26:10Z,Jupyter Notebook,0.26
metasploit-framework,2011-08-30T06:13:20Z,10683,0,2024-08-25T19:21:22Z,Ruby,0.93
gold-miner,2015-11-04T03:29:13Z,3563,0,2024-08-25T13:31:27Z,,1.0
Files,2019-01-04T18:19:14Z,5027,116,2024-08-25T19:26:32Z,C#,0.95
shadowsocks,2012-04-20T13:10:49Z,70,2,2024-08-25T19:17:37Z,Python,0
compose,2013-12-09T11:40:58Z,3097,230,2024-08-25T18:22:09Z,Go,0.97
zig,2015-08-06T00:51:28Z,7861,18,2024-08-25T20:11:03Z,Zig,0.74
HanLP,2014-10-09T06:36:16Z,78,57,2024-08-25T16:00:02Z,Python,0.99
AFNetworking,2011-05-31T21:28:44Z,710,40,2024-08-25T19:31:53Z,Objective-C,0
Summer2025-Internships,2020-05-23T20:53:18Z,1668,0,2024-08-25T21:08:56Z,,1.0
brackets,2011-12-07T21:14:40Z,4332,69,2024-08-25T12:24:05Z,JavaScript,0.73
awesome-javascript,2014-07-01T15:59:02Z,377,0,2024-08-25T09:29:05Z,,0.97
cli,2012-02-25T12:39:13Z,399,46,2024-08-25T20:59:34Z,Python,0.82
netty,2010-11-09T09:22:21Z,3526,0,2024-08-25T15:57:43Z,Java,0.91
AndroidUtilCode,2016-07-30T18:18:32Z,88,117,2024-08-25T00:49:14Z,Java,0.81
fd,2017-05-09T21:27:10Z,580,40,2024-08-25T17:49:59Z,Rust,0.89
awesome-compose,2020-02-13T08:51:42Z,149,0,2024-08-25T19:25:53Z,HTML,0.35
EasySpider,2020-07-18T02:41:27Z,32,9,2024-08-25T20:09:48Z,JavaScript,0.82
react-beautiful-dnd,2017-08-09T03:37:15Z,527,68,2024-08-25T10:56:13Z,JavaScript,0.65
Awesome-Design-Tools,2019-02-12T13:55:30Z,283,0,2024-08-25T19:14:10Z,JavaScript,0.74
REKCARC-TSC-UHT,2019-04-05T03:31:23Z,156,0,2024-08-25T17:20:55Z,HTML,0.97
jieba,2012-09-29T07:52:01Z,96,9,2024-08-25T18:28:19Z,Python,0.27
halo,2018-03-21T12:56:52Z,2128,182,2024-08-25T16:06:41Z,Java,0.91
jellyfin,2018-12-09T06:36:45Z,4139,77,2024-08-25T20:59:37Z,C#,0.92
gulp,2013-07-04T05:26:06Z,405,23,2024-08-25T09:33:28Z,JavaScript,0.99
TTS,2020-05-20T15:45:28Z,467,98,2024-08-25T21:01:34Z,Python,0.94
XX-Net,2015-01-15T09:35:51Z,362,388,2024-08-25T15:58:50Z,Python,0.41
immutable-js,2014-07-02T06:02:29Z,511,80,2024-08-25T18:01:38Z,TypeScript,0.92
appsmith,2020-06-30T04:07:36Z,12168,238,2024-08-25T21:08:04Z,TypeScript,0.82
daisyui,2020-11-28T22:57:27Z,283,41,2024-08-25T19:06:46Z,Svelte,0.95
spring-boot-demo,2017-11-10T06:27:29Z,15,0,2024-08-25T19:55:45Z,Java,0.44
ray,2016-10-25T19:38:30Z,22925,90,2024-08-25T20:15:22Z,Python,0.81
fiber,2020-01-16T03:59:20Z,1456,122,2024-08-25T19:09:06Z,Go,0.94
marked,2011-07-24T13:15:51Z,1381,133,2024-08-25T18:12:29Z,JavaScript,0.98
zod,2020-03-07T20:59:08Z,493,89,2024-08-25T18:53:03Z,TypeScript,0.8
LeetCode-Go,2017-07-18T00:06:14Z,174,4,2024-08-25T21:06:10Z,Go,0.82
zxing,2011-10-12T14:07:27Z,311,31,2024-08-25T20:47:18Z,Java,1.0
WeChatMsg,2023-01-11T05:03:49Z,62,32,2024-08-25T16:44:49Z,Python,0.87
slidev,2021-04-24T01:25:23Z,572,352,2024-08-25T20:36:26Z,TypeScript,0.94
awesome-shell,2014-07-07T01:57:42Z,307,0,2024-08-25T20:12:14Z,,0.39
ijkplayer,2013-06-03T04:12:04Z,35,0,2024-08-25T15:04:42Z,C,0.47
helix,2020-06-01T04:26:56Z,3571,26,2024-08-25T20:52:51Z,Rust,0.86
ccxt,2017-05-14T15:41:56Z,11376,67,2024-08-25T20:14:09Z,Python,0.92
ShadowsocksX-NG,2016-06-10T11:49:00Z,63,29,2024-08-25T12:27:52Z,Swift,0.77
